Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2021-08-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2021-08-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-08-10,2021-08-10,2021-09-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2021-09-10
2021-08-10,2021-08-10,2021-09-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2021-09-10
2021-07-10,2021-07-10,2021-08-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2021-08-10
2021-07-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2021-07-10,2021-07-10,2021-08-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2021-08-10
2021-07-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-06-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-06-10,2021-06-10,2021-07-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2021-07-10
2021-06-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2021-06-10,2021-06-10,2021-07-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2021-07-10
2021-05-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
